genres,moyenne,nombre_votant
\N,6.0,136928.0
Adventure,7.0,10846843.0
Fantasy,7.0,330774.0
Adult,6.0,34277.0
Action,7.0,55062251.0
Reality-TV,6.0,1325823.0
Game-Show,6.0,820884.0
Thriller,7.0,287054.0
Sci-Fi,7.0,85494.0
Short,7.0,6522.0
Western,7.0,83714.0
Drama,7.0,37962696.0
Crime,7.0,33640073.0
Romance,7.0,324125.0
History,7.0,60553.0
Horror,7.0,444615.0
War,7.0,6224.0
Sport,7.0,83774.0
Comedy,7.0,45384934.0
News,6.0,202953.0
Music,7.0,97822.0
Talk-Show,6.0,293999.0
Musical,7.0,35958.0
Documentary,7.0,4068573.0
Animation,7.0,7314783.0
Family,7.0,364966.0
Biography,7.0,5549857.0
Mystery,7.0,207692.0
