type,genres,nombre
tvMiniSeries,Comedy,11652
tvMiniSeries,Thriller,868
tvMiniSeries,Music,981
tvMiniSeries,Talk-Show,1471
tvMiniSeries,Musical,193
tvMiniSeries,Sport,1540
tvMiniSeries,Horror,853
tvMiniSeries,War,91
tvMiniSeries,Crime,2910
tvMiniSeries,Drama,13340
tvMiniSeries,Animation,2854
tvMiniSeries,Documentary,13330
tvMiniSeries,Mystery,636
tvMiniSeries,Biography,1632
tvMiniSeries,News,363
tvMiniSeries,Fantasy,709
tvMiniSeries,Adult,431
tvMiniSeries,History,684
tvMiniSeries,Romance,1824
tvMiniSeries,Adventure,1792
tvMiniSeries,\N,3226
tvMiniSeries,Western,45
tvMiniSeries,Reality-TV,1930
tvMiniSeries,Short,764
tvMiniSeries,Game-Show,341
tvMiniSeries,Action,3061
tvMiniSeries,Sci-Fi,673
tvMiniSeries,Family,1190
tvSeries,Mystery,1373
tvSeries,Sport,5579
tvSeries,Animation,12968
tvSeries,Adventure,8059
tvSeries,\N,23709
tvSeries,Fantasy,1923
tvSeries,Adult,3045
tvSeries,Biography,2624
tvSeries,Documentary,33996
tvSeries,History,1800
tvSeries,Romance,2354
tvSeries,Action,12120
tvSeries,Game-Show,7913
tvSeries,Reality-TV,21729
tvSeries,Western,202
tvSeries,Musical,775
tvSeries,Sci-Fi,1953
tvSeries,Short,1306
tvSeries,Crime,8766
tvSeries,Drama,39756
tvSeries,Horror,2142
tvSeries,War,209
tvSeries,Thriller,1939
tvSeries,Music,7384
tvSeries,Comedy,57643
tvSeries,Talk-Show,18487
tvSeries,News,8140
tvSeries,Family,9625
